model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME N704V3,9.98.2,n704v3_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n704v3_kr_9_982.bin,2016-12-14 06:24:18+00:00,4120632,7801dac3c95499c8e8a4b504b897a236a784a63f,cd414bc4789f00979292943a1160c284
ipTIME N704BCM,9.98.2,n704bcm_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n704bcm_kr_9_982.bin,2016-12-14 06:24:24+00:00,4120632,f6ecc9de83abf7547ed5a0af387c25a16026fefb,3691b9056a32b415504db36b55a032a0
ipTIME N704-A3,9.98.2,n704a3_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n704a3_kr_9_982.bin,2016-12-14 06:24:16+00:00,4120632,1ebf117083835b27159d3dd0018696ef27bb0f78,4675de24efeafae3422bbe2fe678ff9e
ipTIME N702BCM,9.98.2,n702bcm_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n702bcm_kr_9_982.bin,2016-12-14 06:24:17+00:00,4120632,ab9c58617642c25a6e463a8e218094b0dc65d8b7,5965206ee4fbe55a5e2afbde9729a0b0
ipTIME N604S,9.98.2,n604s_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604s_kr_9_982.bin,2016-12-14 06:24:16+00:00,4120632,f3e957591712a63e68c83d464737003615f93719,6e14ceca3716a661a775b95d2898640c
ipTIME N604A,9.98.2,n604a_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604a_kr_9_982.bin,2016-12-14 06:24:16+00:00,4120632,e4b6324815627ee4889c3d94c28391128eedf1b1,c61698ddd0b286eecfdfe7b0e8388d20
ipTIME N104S-r1,9.98.2,n104sr1_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n104sr1_kr_9_982.bin,2016-12-14 06:24:12+00:00,4059192,16be74be2c3ef0ada743499775e133366721c821,3c51110c92c97d92637bc9c02446e442
ipTIME EW302N,9.98.2,ew302_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/ew302_kr_9_982.bin,2016-12-14 06:24:11+00:00,4120632,8c0eb844987173a09b29f4db3be697d9d9756c47,7034890937e89ab7b19413753119b2b9
ipTIME N904V,9.98.2,n904v_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n904v_kr_9_982.bin,2016-12-14 05:15:34+00:00,3354624,0a79bfb1918198299dd68189466ce193f9343129,83b419e9a3990b4c635f978770f809df
ipTIME N904plus,9.98.2,n904_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n904_kr_9_982.bin,2016-12-14 05:15:33+00:00,3354624,4aade5d2642fad3a99be20397c25cf0c4de5def1,c7204297b2bbfb2f3cae42293fa8abd7
ipTIME N904,9.98.2,n904_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n904_kr_9_982.bin,2016-12-14 05:15:33+00:00,3354624,4aade5d2642fad3a99be20397c25cf0c4de5def1,c7204297b2bbfb2f3cae42293fa8abd7
